,album,artists,disc_number,duration_ms,explicit,external_ids,external_urls,href,id,is_local,is_playable,name,popularity,preview_url,track_number,type,uri
0,"{'album_type': 'album', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/0GWCNkPi54upO9WLlwjAHd'}, 'href': 'https://api.spotify.com/v1/artists/0GWCNkPi54upO9WLlwjAHd', 'id': '0GWCNkPi54upO9WLlwjAHd', 'name': 'Big Time Rush', 'type': 'artist', 'uri': 'spotify:artist:0GWCNkPi54upO9WLlwjAHd'}], 'external_urls': {'spotify': 'https://open.spotify.com/album/2RjFzASjHZG1lUbCKqUahx'}, 'href': 'https://api.spotify.com/v1/albums/2RjFzASjHZG1lUbCKqUahx', 'id': '2RjFzASjHZG1lUbCKqUahx', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27350acd1f66ebd5b84630c7129', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e0250acd1f66ebd5b84630c7129', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d0000485150acd1f66ebd5b84630c7129', 'width': 64}], 'name': 'BTR', 'release_date': '2010-10-11', 'release_date_precision': 'day', 'total_tracks': 11, 'type': 'album', 'uri': 'spotify:album:2RjFzASjHZG1lUbCKqUahx'}","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0GWCNkPi54upO9WLlwjAHd'}, 'href': 'https://api.spotify.com/v1/artists/0GWCNkPi54upO9WLlwjAHd', 'id': '0GWCNkPi54upO9WLlwjAHd', 'name': 'Big Time Rush', 'type': 'artist', 'uri': 'spotify:artist:0GWCNkPi54upO9WLlwjAHd'}]",1,201040,False,{'isrc': 'USSM11003623'},{'spotify': 'https://open.spotify.com/track/1rKBOL9kJfX1Y4C3QaOvRH'},https://api.spotify.com/v1/tracks/1rKBOL9kJfX1Y4C3QaOvRH,1rKBOL9kJfX1Y4C3QaOvRH,False,True,Boyfriend,64,https://p.scdn.co/mp3-preview/ea4d6f7903708dbb8cdd5930bbc777fbff820b36?cid=c2f4d1147b804b468423e1b9106665f2,2,track,spotify:track:1rKBOL9kJfX1Y4C3QaOvRH
1,"{'album_type': 'album', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/0GWCNkPi54upO9WLlwjAHd'}, 'href': 'https://api.spotify.com/v1/artists/0GWCNkPi54upO9WLlwjAHd', 'id': '0GWCNkPi54upO9WLlwjAHd', 'name': 'Big Time Rush', 'type': 'artist', 'uri': 'spotify:artist:0GWCNkPi54upO9WLlwjAHd'}], 'external_urls': {'spotify': 'https://open.spotify.com/album/2vlQEIT6XEYVKfaKQwADnk'}, 'href': 'https://api.spotify.com/v1/albums/2vlQEIT6XEYVKfaKQwADnk', 'id': '2vlQEIT6XEYVKfaKQwADnk', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273f1ba45106688ee10eb367bc0', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02f1ba45106688ee10eb367bc0', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851f1ba45106688ee10eb367bc0', 'width': 64}], 'name': 'Elevate', 'release_date': '2011', 'release_date_precision': 'year', 'total_tracks': 13, 'type': 'album', 'uri': 'spotify:album:2vlQEIT6XEYVKfaKQwADnk'}","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0GWCNkPi54upO9WLlwjAHd'}, 'href': 'https://api.spotify.com/v1/artists/0GWCNkPi54upO9WLlwjAHd', 'id': '0GWCNkPi54upO9WLlwjAHd', 'name': 'Big Time Rush', 'type': 'artist', 'uri': 'spotify:artist:0GWCNkPi54upO9WLlwjAHd'}]",1,192933,False,{'isrc': 'USSM11203314'},{'spotify': 'https://open.spotify.com/track/3oLXQgbcC34Oo4gFHCeTmi'},https://api.spotify.com/v1/tracks/3oLXQgbcC34Oo4gFHCeTmi,3oLXQgbcC34Oo4gFHCeTmi,False,True,Windows Down,62,https://p.scdn.co/mp3-preview/5f84be71df5e19bf4aa127c04f53573627903eb3?cid=c2f4d1147b804b468423e1b9106665f2,13,track,spotify:track:3oLXQgbcC34Oo4gFHCeTmi
2,"{'album_type': 'album', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/0GWCNkPi54upO9WLlwjAHd'}, 'href': 'https://api.spotify.com/v1/artists/0GWCNkPi54upO9WLlwjAHd', 'id': '0GWCNkPi54upO9WLlwjAHd', 'name': 'Big Time Rush', 'type': 'artist', 'uri': 'spotify:artist:0GWCNkPi54upO9WLlwjAHd'}], 'external_urls': {'spotify': 'https://open.spotify.com/album/2RjFzASjHZG1lUbCKqUahx'}, 'href': 'https://api.spotify.com/v1/albums/2RjFzASjHZG1lUbCKqUahx', 'id': '2RjFzASjHZG1lUbCKqUahx', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27350acd1f66ebd5b84630c7129', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e0250acd1f66ebd5b84630c7129', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d0000485150acd1f66ebd5b84630c7129', 'width': 64}], 'name': 'BTR', 'release_date': '2010-10-11', 'release_date_precision': 'day', 'total_tracks': 11, 'type': 'album', 'uri': 'spotify:album:2RjFzASjHZG1lUbCKqUahx'}","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0GWCNkPi54upO9WLlwjAHd'}, 'href': 'https://api.spotify.com/v1/artists/0GWCNkPi54upO9WLlwjAHd', 'id': '0GWCNkPi54upO9WLlwjAHd', 'name': 'Big Time Rush', 'type': 'artist', 'uri': 'spotify:artist:0GWCNkPi54upO9WLlwjAHd'}]",1,224333,False,{'isrc': 'USSM11003625'},{'spotify': 'https://open.spotify.com/track/18vVJsD68uh386vlZWwO3d'},https://api.spotify.com/v1/tracks/18vVJsD68uh386vlZWwO3d,18vVJsD68uh386vlZWwO3d,False,True,Worldwide,57,https://p.scdn.co/mp3-preview/a998d097e8684a6c8cc4e64141c1b6d88609730e?cid=c2f4d1147b804b468423e1b9106665f2,5,track,spotify:track:18vVJsD68uh386vlZWwO3d
3,"{'album_type': 'single', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/0GWCNkPi54upO9WLlwjAHd'}, 'href': 'https://api.spotify.com/v1/artists/0GWCNkPi54upO9WLlwjAHd', 'id': '0GWCNkPi54upO9WLlwjAHd', 'name': 'Big Time Rush', 'type': 'artist', 'uri': 'spotify:artist:0GWCNkPi54upO9WLlwjAHd'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/5RzT7CM6Ot0sh0EHefMicV'}, 'href': 'https://api.spotify.com/v1/artists/5RzT7CM6Ot0sh0EHefMicV', 'id': '5RzT7CM6Ot0sh0EHefMicV', 'name': 'Maffio', 'type': 'artist', 'uri': 'spotify:artist:5RzT7CM6Ot0sh0EHefMicV'}], 'external_urls': {'spotify': 'https://open.spotify.com/album/6LUsuuJs4RY9cguHGX8kge'}, 'href': 'https://api.spotify.com/v1/albums/6LUsuuJs4RY9cguHGX8kge', 'id': '6LUsuuJs4RY9cguHGX8kge', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2732bfeb0ba8fddfda1cfafa021', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e022bfeb0ba8fddfda1cfafa021', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048512bfeb0ba8fddfda1cfafa021', 'width': 64}], 'name': ""Dale Pa' Ya"", 'release_date': '2022-08-19', 'release_date_precision': 'day', 'total_tracks': 1, 'type': 'album', 'uri': 'spotify:album:6LUsuuJs4RY9cguHGX8kge'}","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0GWCNkPi54upO9WLlwjAHd'}, 'href': 'https://api.spotify.com/v1/artists/0GWCNkPi54upO9WLlwjAHd', 'id': '0GWCNkPi54upO9WLlwjAHd', 'name': 'Big Time Rush', 'type': 'artist', 'uri': 'spotify:artist:0GWCNkPi54upO9WLlwjAHd'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/5RzT7CM6Ot0sh0EHefMicV'}, 'href': 'https://api.spotify.com/v1/artists/5RzT7CM6Ot0sh0EHefMicV', 'id': '5RzT7CM6Ot0sh0EHefMicV', 'name': 'Maffio', 'type': 'artist', 'uri': 'spotify:artist:5RzT7CM6Ot0sh0EHefMicV'}]",1,187883,False,{'isrc': 'QM6N22298346'},{'spotify': 'https://open.spotify.com/track/2v6F6KzzLgwYrb65JWN8dj'},https://api.spotify.com/v1/tracks/2v6F6KzzLgwYrb65JWN8dj,2v6F6KzzLgwYrb65JWN8dj,False,True,Dale Pa' Ya,55,https://p.scdn.co/mp3-preview/f5995a1b8e09bb1b8e8813342c35c1f941dc2787?cid=c2f4d1147b804b468423e1b9106665f2,1,track,spotify:track:2v6F6KzzLgwYrb65JWN8dj
4,"{'album_type': 'album', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/0GWCNkPi54upO9WLlwjAHd'}, 'href': 'https://api.spotify.com/v1/artists/0GWCNkPi54upO9WLlwjAHd', 'id': '0GWCNkPi54upO9WLlwjAHd', 'name': 'Big Time Rush', 'type': 'artist', 'uri': 'spotify:artist:0GWCNkPi54upO9WLlwjAHd'}], 'external_urls': {'spotify': 'https://open.spotify.com/album/2vlQEIT6XEYVKfaKQwADnk'}, 'href': 'https://api.spotify.com/v1/albums/2vlQEIT6XEYVKfaKQwADnk', 'id': '2vlQEIT6XEYVKfaKQwADnk', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273f1ba45106688ee10eb367bc0', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02f1ba45106688ee10eb367bc0', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851f1ba45106688ee10eb367bc0', 'width': 64}], 'name': 'Elevate', 'release_date': '2011', 'release_date_precision': 'year', 'total_tracks': 13, 'type': 'album', 'uri': 'spotify:album:2vlQEIT6XEYVKfaKQwADnk'}","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0GWCNkPi54upO9WLlwjAHd'}, 'href': 'https://api.spotify.com/v1/artists/0GWCNkPi54upO9WLlwjAHd', 'id': '0GWCNkPi54upO9WLlwjAHd', 'name': 'Big Time Rush', 'type': 'artist', 'uri': 'spotify:artist:0GWCNkPi54upO9WLlwjAHd'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/5tKXB9uuebKE34yowVaU3C'}, 'href': 'https://api.spotify.com/v1/artists/5tKXB9uuebKE34yowVaU3C', 'id': '5tKXB9uuebKE34yowVaU3C', 'name': 'Iyaz', 'type': 'artist', 'uri': 'spotify:artist:5tKXB9uuebKE34yowVaU3C'}]",1,180373,False,{'isrc': 'USSM11102510'},{'spotify': 'https://open.spotify.com/track/4XIdxJBiWXUaQiJY5hlSIx'},https://api.spotify.com/v1/tracks/4XIdxJBiWXUaQiJY5hlSIx,4XIdxJBiWXUaQiJY5hlSIx,False,True,If I Ruled the World (feat. Iyaz),55,https://p.scdn.co/mp3-preview/a68190d36067b46a97042be6e7f594e14327e04d?cid=c2f4d1147b804b468423e1b9106665f2,7,track,spotify:track:4XIdxJBiWXUaQiJY5hlSIx
5,"{'album_type': 'single', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/0GWCNkPi54upO9WLlwjAHd'}, 'href': 'https://api.spotify.com/v1/artists/0GWCNkPi54upO9WLlwjAHd', 'id': '0GWCNkPi54upO9WLlwjAHd', 'name': 'Big Time Rush', 'type': 'artist', 'uri': 'spotify:artist:0GWCNkPi54upO9WLlwjAHd'}], 'external_urls': {'spotify': 'https://open.spotify.com/album/08LqESIqk21nFUdAJczMUK'}, 'href': 'https://api.spotify.com/v1/albums/08LqESIqk21nFUdAJczMUK', 'id': '08LqESIqk21nFUdAJczMUK', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273146b020b0fd964ab73df720d', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02146b020b0fd964ab73df720d', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851146b020b0fd964ab73df720d', 'width': 64}], 'name': 'Not Giving You Up', 'release_date': '2022-02-25', 'release_date_precision': 'day', 'total_tracks': 1, 'type': 'album', 'uri': 'spotify:album:08LqESIqk21nFUdAJczMUK'}","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0GWCNkPi54upO9WLlwjAHd'}, 'href': 'https://api.spotify.com/v1/artists/0GWCNkPi54upO9WLlwjAHd', 'id': '0GWCNkPi54upO9WLlwjAHd', 'name': 'Big Time Rush', 'type': 'artist', 'uri': 'spotify:artist:0GWCNkPi54upO9WLlwjAHd'}]",1,180879,False,{'isrc': 'QM4TW2231245'},{'spotify': 'https://open.spotify.com/track/1jzJQlaWgu7ZYqRldXXFRD'},https://api.spotify.com/v1/tracks/1jzJQlaWgu7ZYqRldXXFRD,1jzJQlaWgu7ZYqRldXXFRD,False,True,Not Giving You Up,55,https://p.scdn.co/mp3-preview/700ad691e423fb5a58dd961924d0c3ff2c00bc08?cid=c2f4d1147b804b468423e1b9106665f2,1,track,spotify:track:1jzJQlaWgu7ZYqRldXXFRD
6,"{'album_type': 'album', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/0GWCNkPi54upO9WLlwjAHd'}, 'href': 'https://api.spotify.com/v1/artists/0GWCNkPi54upO9WLlwjAHd', 'id': '0GWCNkPi54upO9WLlwjAHd', 'name': 'Big Time Rush', 'type': 'artist', 'uri': 'spotify:artist:0GWCNkPi54upO9WLlwjAHd'}], 'external_urls': {'spotify': 'https://open.spotify.com/album/2RjFzASjHZG1lUbCKqUahx'}, 'href': 'https://api.spotify.com/v1/albums/2RjFzASjHZG1lUbCKqUahx', 'id': '2RjFzASjHZG1lUbCKqUahx', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27350acd1f66ebd5b84630c7129', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e0250acd1f66ebd5b84630c7129', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d0000485150acd1f66ebd5b84630c7129', 'width': 64}], 'name': 'BTR', 'release_date': '2010-10-11', 'release_date_precision': 'day', 'total_tracks': 11, 'type': 'album', 'uri': 'spotify:album:2RjFzASjHZG1lUbCKqUahx'}","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0GWCNkPi54upO9WLlwjAHd'}, 'href': 'https://api.spotify.com/v1/artists/0GWCNkPi54upO9WLlwjAHd', 'id': '0GWCNkPi54upO9WLlwjAHd', 'name': 'Big Time Rush', 'type': 'artist', 'uri': 'spotify:artist:0GWCNkPi54upO9WLlwjAHd'}]",1,197586,False,{'isrc': 'USSM10906314'},{'spotify': 'https://open.spotify.com/track/5lEsM6qpuzuZwij6jIZPvP'},https://api.spotify.com/v1/tracks/5lEsM6qpuzuZwij6jIZPvP,5lEsM6qpuzuZwij6jIZPvP,False,True,Big Time Rush,55,https://p.scdn.co/mp3-preview/7642ce974d5cd831a8436af5c8c0dd17528696a4?cid=c2f4d1147b804b468423e1b9106665f2,11,track,spotify:track:5lEsM6qpuzuZwij6jIZPvP
7,"{'album_type': 'album', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/0GWCNkPi54upO9WLlwjAHd'}, 'href': 'https://api.spotify.com/v1/artists/0GWCNkPi54upO9WLlwjAHd', 'id': '0GWCNkPi54upO9WLlwjAHd', 'name': 'Big Time Rush', 'type': 'artist', 'uri': 'spotify:artist:0GWCNkPi54upO9WLlwjAHd'}], 'external_urls': {'spotify': 'https://open.spotify.com/album/2RjFzASjHZG1lUbCKqUahx'}, 'href': 'https://api.spotify.com/v1/albums/2RjFzASjHZG1lUbCKqUahx', 'id': '2RjFzASjHZG1lUbCKqUahx', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27350acd1f66ebd5b84630c7129', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e0250acd1f66ebd5b84630c7129', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d0000485150acd1f66ebd5b84630c7129', 'width': 64}], 'name': 'BTR', 'release_date': '2010-10-11', 'release_date_precision': 'day', 'total_tracks': 11, 'type': 'album', 'uri': 'spotify:album:2RjFzASjHZG1lUbCKqUahx'}","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0GWCNkPi54upO9WLlwjAHd'}, 'href': 'https://api.spotify.com/v1/artists/0GWCNkPi54upO9WLlwjAHd', 'id': '0GWCNkPi54upO9WLlwjAHd', 'name': 'Big Time Rush', 'type': 'artist', 'uri': 'spotify:artist:0GWCNkPi54upO9WLlwjAHd'}]",1,237946,False,{'isrc': 'USSM11002970'},{'spotify': 'https://open.spotify.com/track/4mGJcOKQhmISIWgQ3xCiLB'},https://api.spotify.com/v1/tracks/4mGJcOKQhmISIWgQ3xCiLB,4mGJcOKQhmISIWgQ3xCiLB,False,True,Til I Forget About You,55,https://p.scdn.co/mp3-preview/c33725ec2c895bc08e2e0a0c71b6bb0befd1b9e6?cid=c2f4d1147b804b468423e1b9106665f2,1,track,spotify:track:4mGJcOKQhmISIWgQ3xCiLB
8,"{'album_type': 'single', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/0GWCNkPi54upO9WLlwjAHd'}, 'href': 'https://api.spotify.com/v1/artists/0GWCNkPi54upO9WLlwjAHd', 'id': '0GWCNkPi54upO9WLlwjAHd', 'name': 'Big Time Rush', 'type': 'artist', 'uri': 'spotify:artist:0GWCNkPi54upO9WLlwjAHd'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/5RzT7CM6Ot0sh0EHefMicV'}, 'href': 'https://api.spotify.com/v1/artists/5RzT7CM6Ot0sh0EHefMicV', 'id': '5RzT7CM6Ot0sh0EHefMicV', 'name': 'Maffio', 'type': 'artist', 'uri': 'spotify:artist:5RzT7CM6Ot0sh0EHefMicV'}], 'external_urls': {'spotify': 'https://open.spotify.com/album/14JiS3KmsTYfDD1gPMXkUA'}, 'href': 'https://api.spotify.com/v1/albums/14JiS3KmsTYfDD1gPMXkUA', 'id': '14JiS3KmsTYfDD1gPMXkUA', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27355b53c4100656bace569671c', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e0255b53c4100656bace569671c', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d0000485155b53c4100656bace569671c', 'width': 64}], 'name': ""Dale Pa' Ya (feat. Gente De Zona)"", 'release_date': '2022-10-07', 'release_date_precision': 'day', 'total_tracks': 2, 'type': 'album', 'uri': 'spotify:album:14JiS3KmsTYfDD1gPMXkUA'}","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0GWCNkPi54upO9WLlwjAHd'}, 'href': 'https://api.spotify.com/v1/artists/0GWCNkPi54upO9WLlwjAHd', 'id': '0GWCNkPi54upO9WLlwjAHd', 'name': 'Big Time Rush', 'type': 'artist', 'uri': 'spotify:artist:0GWCNkPi54upO9WLlwjAHd'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/5RzT7CM6Ot0sh0EHefMicV'}, 'href': 'https://api.spotify.com/v1/artists/5RzT7CM6Ot0sh0EHefMicV', 'id': '5RzT7CM6Ot0sh0EHefMicV', 'name': 'Maffio', 'type': 'artist', 'uri': 'spotify:artist:5RzT7CM6Ot0sh0EHefMicV'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/2cy1zPcrFcXAJTP0APWewL'}, 'href': 'https://api.spotify.com/v1/artists/2cy1zPcrFcXAJTP0APWewL', 'id': '2cy1zPcrFcXAJTP0APWewL', 'name': 'Gente De Zona', 'type': 'artist', 'uri': 'spotify:artist:2cy1zPcrFcXAJTP0APWewL'}]",1,216730,False,{'isrc': 'QMDA62213947'},{'spotify': 'https://open.spotify.com/track/591rTyO18GKHVUbb6M0WIX'},https://api.spotify.com/v1/tracks/591rTyO18GKHVUbb6M0WIX,591rTyO18GKHVUbb6M0WIX,False,True,Dale Pa' Ya (feat. Gente de Zona),54,https://p.scdn.co/mp3-preview/2b1e523e5381ea66b4425708dd3d5955278557b4?cid=c2f4d1147b804b468423e1b9106665f2,1,track,spotify:track:591rTyO18GKHVUbb6M0WIX
9,"{'album_type': 'single', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/0GWCNkPi54upO9WLlwjAHd'}, 'href': 'https://api.spotify.com/v1/artists/0GWCNkPi54upO9WLlwjAHd', 'id': '0GWCNkPi54upO9WLlwjAHd', 'name': 'Big Time Rush', 'type': 'artist', 'uri': 'spotify:artist:0GWCNkPi54upO9WLlwjAHd'}], 'external_urls': {'spotify': 'https://open.spotify.com/album/2Wamb4m82wexz3C88JFlmy'}, 'href': 'https://api.spotify.com/v1/albums/2Wamb4m82wexz3C88JFlmy', 'id': '2Wamb4m82wexz3C88JFlmy', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273a058ab453183c35b918b1688', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02a058ab453183c35b918b1688', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851a058ab453183c35b918b1688', 'width': 64}], 'name': 'Call It Like I See It', 'release_date': '2021-12-13', 'release_date_precision': 'day', 'total_tracks': 1, 'type': 'album', 'uri': 'spotify:album:2Wamb4m82wexz3C88JFlmy'}","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0GWCNkPi54upO9WLlwjAHd'}, 'href': 'https://api.spotify.com/v1/artists/0GWCNkPi54upO9WLlwjAHd', 'id': '0GWCNkPi54upO9WLlwjAHd', 'name': 'Big Time Rush', 'type': 'artist', 'uri': 'spotify:artist:0GWCNkPi54upO9WLlwjAHd'}]",1,184766,False,{'isrc': 'QMDA72164978'},{'spotify': 'https://open.spotify.com/track/5zpR9iel4xXiZ3HP9owOiL'},https://api.spotify.com/v1/tracks/5zpR9iel4xXiZ3HP9owOiL,5zpR9iel4xXiZ3HP9owOiL,False,True,Call It Like I See It,54,https://p.scdn.co/mp3-preview/37e5ed34ec560b7a64ddb6cb05b53442ff806f10?cid=c2f4d1147b804b468423e1b9106665f2,1,track,spotify:track:5zpR9iel4xXiZ3HP9owOiL
